timeStamp,blockReward
1447991465,5.0042
1447991485,5.00105
1447991520,5.00105
1447991540,5.0
1447991616,5.00525
1447991623,5.0042
1447991626,5.0042
1447991640,5.0
1447991643,5.0021
1447991686,5.01691735
1447991721,5.01722
1447991725,5.0
1447991733,5.0
1447991756,5.0
1447991768,5.00105
1447991783,5.00105
1447991784,5.0
1447991817,5.0
1447991824,5.00105
1447991837,5.15625
1447991845,5.0
1447991851,5.0
1447991857,5.16070044
1447991914,5.00105
1447991922,5.0
1447992004,5.02532803
1447992012,5.03045625
1447992018,5.0
1447992028,5.00105
1447992049,5.0
1447992088,5.0
1447992101,5.00105
1447992172,5.00105
1447992207,5.00252
1447992263,5.0
1447992278,5.0
1447992290,5.0
1447992300,5.0
1447992303,5.00105
1447992316,5.0
1447992328,5.0
1447992339,5.00105
1447992386,5.0021
1447992414,5.0021
1447992428,5.0
1447992435,5.0
1447992439,5.16627642
1447992446,5.00126
1447992450,5.00252
1447992493,5.15625
1447992524,5.0
1447992538,5.0
1447992542,5.0
1447992556,5.0
1447992594,5.0
1447992683,5.1788096
1447992689,5.15625
1447992702,5.00126
1447992732,5.00212235
1447992738,5.0
1447992769,5.1573
1447992770,5.15625
1447992848,5.00105
1447992877,5.0
1447992881,5.0
1447992902,5.0
1447992938,5.0
1447992958,5.00231
1447992977,5.00252
1447992982,5.0
1447992992,5.0
1447993038,5.00105
1447993061,5.0044061
1447993062,5.0021
1447993086,5.0
1447993132,5.00105
1447993169,5.0
1447993185,5.0
1447993186,5.0
1447993189,5.0
1447993190,5.0
1447993209,5.01923803
1447993235,5.00269605
1447993316,5.01155
1447993342,5.00105
1447993347,5.15625
1447993348,5.0
1447993367,5.0
1447993371,5.0
1447993389,5.00105
1447993400,5.0
1447993418,5.01155
1447993426,5.00105
1447993451,5.00357
1447993467,5.00105
1447993474,5.0
1447993493,5.15625
1447993506,5.0
1447993521,5.00105
1447993554,5.16654555
1447993584,5.00105
1447993614,5.0
1447993669,5.0
1447993688,5.0
1447993690,5.0
1447993707,5.00483
1447993715,5.0
1447993741,5.0
1447993744,5.0
1447993757,5.00105
1447993762,5.0
1447993765,5.0
1447993777,5.0021
1447993779,5.0
1447993809,5.01776803
1447993823,5.00374605
1447993830,5.0
1447993833,5.00105
1447993836,5.0
1447993856,5.00212235
1447993867,5.15625
1447993870,5.0
1447993906,5.0
1447993915,5.00105
1447993941,5.0
1447993949,5.00357
1447993968,5.00378
1447994015,5.00105
1447994019,5.0
1447994031,5.0
1447994064,5.00105
1447994102,5.0
1447994113,5.0021
